Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,35371274204
AA,Alcoa,Aluminum,6158401761
AAC,Ares Acquisition,Shell Companies,762449310
AACG,ATA Creativity Global,Education & Training Services,46747132
AACI,Armada Acquisition I,Shell Companies,96423941
AACT,Ares Acquisition Corporation II,Shell Companies,114370875
AADI,Aadi Bioscience,Biotechnology,140268380
AAIC,Arlington Asset Investment,REIT - Mortgage,132159464
AAL,American Airlines Group,Airlines,11842934929
AAMC,Altisource Asset Management,Asset Management,99104551
AAME,Atlantic American,Insurance - Life,37136556
AAN,The Aaron's Company,Rental & Leasing Services,457139658
AAOI,Applied Optoelectronics,Semiconductors,266848680
AAON,"AAON, Inc.",Building Products & Equipment,5395431214
AAP,Advance Auto Parts,Specialty Retail,4199117237
AAPL,Apple,Consumer Electronics,2999305904828
AAT,American Assets Trust,REIT - Diversified,1598717757
AAU,Almaden Minerals,Gold,20344930
AB,AllianceBernstein Holding L.P.,Asset Management,3811701355
ABBV,AbbVie,Drug Manufacturers - General,242458221740
ABC,AmerisourceBergen,Medical Distribution,38716420651
ABCB,Ameris Bancorp,Banks - Regional,2532147460
ABCL,AbCellera Biologics,Biotechnology,2067292487
ABCM,Abcam,Biotechnology,5490379772
ABEO,Abeona Therapeutics,Biotechnology,85602888
ABEV,Ambev,Beverages - Brewers,48335695635
ABG,Asbury Automotive Group,Auto & Truck Dealerships,5238385166
ABIO,ARCA biopharma,Biotechnology,29251216
ABL,Abacus Life,Medical Laboratories & Research,124568856
ABM,ABM Industries,Specialty Business Services,2808559075
ABNB,Airbnb,Travel Services,90340746110
ABOS,Acumen Pharmaceuticals,Biotechnology,257637615
ABR,Arbor Realty Trust,REIT - Mortgage,2855097234
ABSI,Absci,Biotechnology,192122402
ABST,Absolute Software,Software - Application,610351041
ABT,Abbott Laboratories,Medical Devices,187684871126
ABUS,Arbutus Biopharma,Biotechnology,372117841
ABVC,ABVC BioPharma,Biotechnology,13994316
AC,Associated Capital Group,Capital Markets,794487174
ACA,Arcosa,Infrastructure Operations,3656985950
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,114223376
ACAC,Acri Capital Acquisition,Shell Companies,62291936
ACAD,ACADIA Pharmaceuticals,Biotechnology,5245468623
ACAH,Atlantic Coastal Acquisition,Shell Companies,127168486
ACAQ,Athena Consumer Acquisition,Shell Companies,120516120
ACAX,Alset Capital Acquisition,Shell Companies,48133108
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,189146006
ACBA,Ace Global Business Acquisition,Shell Companies,42329274
ACCD,Accolade,Health Information Services,1017993247
