Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",127.77,1.48,+1.17%,127.79,125.78,1968100,2023-05-17
AAL,"American Airlines Gp",14.91,0.71,+5.00%,15.01,14.36,34879203,2023-05-17
AAP,"Advance Auto Parts Inc",122.1,4.76,+4.06%,122.73,117.65,1190500,2023-05-17
AAPL,"Apple Inc",172.69,0.62,+0.36%,172.93,170.42,57905102,2023-05-17
ABBV,"Abbvie Inc",143.35,0.06,+0.04%,143.52,140.52,5481900,2023-05-17
ABC,"Amerisourcebergen Corp",174.79,0.19,+0.11%,175.35,173.26,1784100,2023-05-17
ABT,"Abbott Laboratories",108.82,-0.57,-0.52%,109.98,107.97,3800900,2023-05-17
ACGL,"Arch Capital Grp Ltd",73.04,-1.48,-1.99%,74.76,72.9,1876100,2023-05-17
ACN,"Accenture Plc",284.63,5.44,+1.95%,286.37,280.23,2486500,2023-05-17
ADBE,"Adobe Systems Inc",356.63,11.52,+3.34%,358.69,345.12,3559900,2023-05-17
ADI,"Analog Devices",187.96,5.17,+2.83%,188.6,183.15,3002200,2023-05-17
ADM,"Archer Daniels Midland",73.05,-0.1,-0.14%,73.54,72.39,2718900,2023-05-17
ADP,"Automatic Data Procs",213.96,1.62,+0.76%,214.99,212.37,1257300,2023-05-17
ADSK,"Autodesk Inc",198.46,5.21,+2.70%,199.09,193.14,1212700,2023-05-17
AEE,"Ameren Corp",83.33,-0.19,-0.23%,83.67,82.66,1284300,2023-05-17
AEP,"American Electric Power Company",87.07,-1.02,-1.16%,88.22,86.33,2674900,2023-05-17
AES,"The Aes Corp",20.95,0.1,+0.48%,21.21,20.74,5808700,2023-05-17
AFL,"Aflac Inc",66.19,1.03,+1.58%,66.69,65.42,2030300,2023-05-17
AIG,"American International Group",53.74,1.43,+2.73%,54.09,52.86,4081300,2023-05-17
AIZ,"Assurant Inc",130.08,0.61,+0.47%,131.52,129.41,338600,2023-05-17
AJG,"Arthur J. Gallagher & Company",215.03,-1.98,-0.91%,218.47,214.35,908600,2023-05-17
AKAM,"Akamai Technologies",86.77,-0.1,-0.12%,87.36,86.42,1578600,2023-05-17
ALB,"Albemarle Corp",207.99,2.32,+1.13%,209.63,203.32,1580500,2023-05-17
ALGN,"Align Technology",291.36,-0.94,-0.32%,293.97,285.19,717900,2023-05-17
ALK,"Alaska Air Group",45.25,2.61,+6.12%,45.33,43.1,2223300,2023-05-17
ALL,"Allstate Corp",119,2.19,+1.87%,119.46,116.72,1719000,2023-05-17
ALLE,"Allegion Plc",109.05,2.55,+2.39%,109.19,106.96,497800,2023-05-17
AMAT,"Applied Materials",125.7,4.78,+3.95%,126.3,121.88,7347800,2023-05-17
AMCR,"Amcor Plc",10.25,0.03,+0.29%,10.28,10.12,7434300,2023-05-17
AMD,"Adv Micro Devices",103.75,2.27,+2.24%,104.14,100.05,75187203,2023-05-17
AME,"Ametek Inc",145.93,1.37,+0.95%,146.74,144.73,910300,2023-05-17
AMGN,"Amgen Inc",225.02,-2.86,-1.26%,226.09,220.44,3351800,2023-05-17
AMP,"Ameriprise Financial Services",301.14,6.72,+2.28%,302.51,296,416900,2023-05-17
AMT,"American Tower Corp",194.76,3.72,+1.95%,194.87,190.79,1181100,2023-05-17
AMZN,"Amazon.com Inc",115.5,2.1,+1.85%,115.83,114.22,65577703,2023-05-17
ANET,"Arista Networks Inc",135.83,-0.31,-0.23%,137.13,134.63,2351100,2023-05-17
ANSS,"Ansys Inc",301.71,2.56,+0.86%,302.62,298.77,391700,2023-05-17
AON,"AON Plc",322.23,-8.71,-2.63%,332.93,321.52,1340100,2023-05-17
AOS,"Smith A.O. Corp",68.28,1.07,+1.59%,68.42,67.25,611000,2023-05-17
APA,"Apa Corp",32.56,0.93,+2.94%,32.99,31.64,5572000,2023-05-17
APD,"Air Products and Chemicals",276.2,0.61,+0.22%,277.45,275.07,770200,2023-05-17
APH,"Amphenol Corp",75.47,0.72,+0.96%,75.63,74.43,2828500,2023-05-17
